Some weights of GPT2ForSequenceClassification were not initialized from the model checkpoint at gpt2 and are newly initialized: ['score.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/home/ganesh/miniconda3/envs/tangent-arithmetic/lib/python3.10/site-packages/peft/tuners/lora/layer.py:1264: UserWarning: fan_in_fan_out is set to False but the target module is `Conv1D`. Setting fan_in_fan_out to True.
  warnings.warn(
Using LoRA. Total trainable parameters: 296448
                                                   
{'loss': 0.8674, 'grad_norm': 32.5885009765625, 'learning_rate': 4.9263657957244656e-05, 'epoch': 0.05}
{'loss': 0.3435, 'grad_norm': 15.425780296325684, 'learning_rate': 2.4718923198733175e-05, 'epoch': 1.52}
{'loss': 0.3259, 'grad_norm': 11.8379487991333, 'learning_rate': 2.392715756136184e-05, 'epoch': 1.57}
{'loss': 0.3262, 'grad_norm': 9.741552352905273, 'learning_rate': 2.31353919239905e-05, 'epoch': 1.62}
{'loss': 0.3207, 'grad_norm': 3.859518527984619, 'learning_rate': 2.2343626286619163e-05, 'epoch': 1.66}
{'loss': 0.3128, 'grad_norm': 6.844830513000488, 'learning_rate': 2.1551860649247823e-05, 'epoch': 1.71}
{'loss': 0.3202, 'grad_norm': 15.5425443649292, 'learning_rate': 2.0760095011876484e-05, 'epoch': 1.76}
{'loss': 0.324, 'grad_norm': 5.138736248016357, 'learning_rate': 1.9968329374505148e-05, 'epoch': 1.81}
{'loss': 0.332, 'grad_norm': 17.079448699951172, 'learning_rate': 1.917656373713381e-05, 'epoch': 1.85}
{'loss': 0.3331, 'grad_norm': 13.969003677368164, 'learning_rate': 1.838479809976247e-05, 'epoch': 1.9}
{'loss': 0.3282, 'grad_norm': 7.103255271911621, 'learning_rate': 1.7600950118764847e-05, 'epoch': 1.95}
{'loss': 0.3351, 'grad_norm': 17.485567092895508, 'learning_rate': 1.6809184481393508e-05, 'epoch': 2.0}
{'loss': 0.3237, 'grad_norm': 22.13425064086914, 'learning_rate': 1.6017418844022168e-05, 'epoch': 2.04}
{'loss': 0.3329, 'grad_norm': 29.020652770996094, 'learning_rate': 1.5225653206650833e-05, 'epoch': 2.09}
{'loss': 0.3206, 'grad_norm': 11.249262809753418, 'learning_rate': 1.4433887569279494e-05, 'epoch': 2.14}
{'loss': 0.3353, 'grad_norm': 24.46954345703125, 'learning_rate': 1.3642121931908156e-05, 'epoch': 2.19}
{'loss': 0.3206, 'grad_norm': 6.30678129196167, 'learning_rate': 1.2850356294536816e-05, 'epoch': 2.23}
{'loss': 0.3259, 'grad_norm': 7.531707286834717, 'learning_rate': 1.2058590657165478e-05, 'epoch': 2.28}
{'loss': 0.3216, 'grad_norm': 3.3121092319488525, 'learning_rate': 1.1266825019794142e-05, 'epoch': 2.33}
{'loss': 0.3242, 'grad_norm': 4.024927616119385, 'learning_rate': 1.0475059382422803e-05, 'epoch': 2.38}
{'loss': 0.3305, 'grad_norm': 10.34464168548584, 'learning_rate': 9.683293745051465e-06, 'epoch': 2.42}
{'loss': 0.3034, 'grad_norm': 21.1712703704834, 'learning_rate': 8.891528107680128e-06, 'epoch': 2.47}
{'loss': 0.3126, 'grad_norm': 19.38933753967285, 'learning_rate': 8.099762470308789e-06, 'epoch': 2.52}
{'loss': 0.3163, 'grad_norm': 15.957185745239258, 'learning_rate': 7.307996832937451e-06, 'epoch': 2.57}
{'loss': 0.3399, 'grad_norm': 12.342086791992188, 'learning_rate': 6.516231195566112e-06, 'epoch': 2.61}
{'loss': 0.3207, 'grad_norm': 13.691291809082031, 'learning_rate': 5.724465558194775e-06, 'epoch': 2.66}
{'loss': 0.3357, 'grad_norm': 13.666658401489258, 'learning_rate': 4.932699920823436e-06, 'epoch': 2.71}
{'loss': 0.3016, 'grad_norm': 3.2077865600585938, 'learning_rate': 4.140934283452098e-06, 'epoch': 2.76}
{'loss': 0.3118, 'grad_norm': 32.03083419799805, 'learning_rate': 3.34916864608076e-06, 'epoch': 2.8}
{'loss': 0.2968, 'grad_norm': 21.054094314575195, 'learning_rate': 2.5574030087094225e-06, 'epoch': 2.85}
{'loss': 0.3212, 'grad_norm': 15.893804550170898, 'learning_rate': 1.7656373713380841e-06, 'epoch': 2.9}
{'loss': 0.3111, 'grad_norm': 10.937873840332031, 'learning_rate': 9.817893903404593e-07, 'epoch': 2.95}
{'loss': 0.2982, 'grad_norm': 18.09711456298828, 'learning_rate': 1.9002375296912116e-07, 'epoch': 2.99}
{'train_runtime': 1615.1315, 'train_samples_per_second': 125.096, 'train_steps_per_second': 3.91, 'train_loss': 0.3652952008462575, 'epoch': 3.0}
LoRA fine-tuned model saved!
